,Date,Maxtemp (Celsius),Mintemp (Celsius),Meantemp (Celsius),Rain,Fog,Snow,Hail,Thunder,Tornado,SnowFall (meter),MaxWind (km/h),MinWind (km/h),MeanWind (km/h),MaxVisibility (meter),MinVisibility (meter),MeanVisibility (meter)
0,,,,,,,,,,,,,,,,,
1,01/01/2017,8,5,7,0,0,0,0,0,0,0.00,19,0,8,16,16,16
2,01/02/2017,4,3,3,1,0,0,0,0,0,0.00,24,8,14,16,4,11
3,01/03/2017,6,4,5,1,0,0,0,0,0,0.00,27,0,19,16,2,6
4,01/04/2017,11,1,7,0,0,0,0,0,0,0.00,27,0,10,16,8,14
5,01/05/2017,1,-3,-1,0,0,0,0,0,0,0.00,21,0,13,16,16,16
6,01/06/2017,1,-4,-2,0,1,1,0,0,0,3.05,16,0,8,16,1,10
7,01/07/2017,-3,-7,-5,0,1,1,0,0,0,12.95,27,0,12,16,0,5
8,01/08/2017,-4,-9,-6,0,0,0,0,0,0,0.00,29,6,14,16,13,15
9,01/09/2017,-5,-10,-7,0,0,0,0,0,0,0.00,21,0,8,16,16,16
10,01/10/2017,8,-6,1,0,0,0,0,0,0,0.00,23,0,7,16,16,16
11,01/11/2017,11,6,8,1,0,0,0,0,0,0.00,26,0,9,16,4,12
12,01/12/2017,19,8,14,1,0,0,0,0,0,0.00,26,8,12,16,8,16
13,01/13/2017,17,0,8,0,0,0,0,0,0,0.00,27,6,12,16,16,16
14,01/14/2017,1,-2,-1,0,1,1,0,0,0,1.52,14,0,7,16,0,9
15,01/15/2017,3,-1,1,0,0,0,0,0,0,0.00,16,0,7,16,13,16
16,01/16/2017,6,-1,3,0,0,0,0,0,0,0.00,21,0,7,16,16,16
17,01/17/2017,6,3,4,1,0,0,0,0,0,0.00,24,0,8,16,2,6
18,01/18/2017,5,3,4,1,0,0,0,0,0,0.00,23,0,9,16,3,12
19,01/19/2017,9,4,7,0,0,0,0,0,0,0.00,19,0,6,16,16,16
20,01/20/2017,7,4,6,1,0,0,0,0,0,0.00,16,0,6,16,5,13
21,01/21/2017,9,5,7,0,0,0,0,0,0,0.00,19,0,6,11,1,7
22,01/22/2017,9,6,8,1,1,0,0,0,0,0.00,34,0,11,16,1,7
23,01/23/2017,7,2,4,1,0,0,0,0,0,0.00,53,14,29,16,4,12
24,01/24/2017,3,2,3,1,0,0,0,0,0,T,39,6,16,16,2,8
25,01/25/2017,11,2,7,0,0,0,0,0,0,0.00,29,0,11,16,16,16
26,01/26/2017,13,6,10,1,0,0,0,0,0,0.00,34,0,11,16,10,16
27,01/27/2017,6,2,4,0,0,0,0,0,0,0.00,29,6,14,16,16,16
28,01/28/2017,4,1,3,0,0,0,0,0,0,0.00,26,6,13,16,16,16
29,01/29/2017,6,2,4,0,0,0,0,0,0,0.00,24,0,9,16,16,16
30,01/30/2017,3,-1,1,0,0,0,0,0,0,0.00,24,0,10,16,16,16
31,01/31/2017,1,-3,-1,0,1,1,0,0,0,2.54,19,0,6,16,0,9
32,02/01/2017,8,1,4,0,0,0,0,0,0,0.00,26,0,9,16,11,16
33,02/02/2017,7,0,4,0,0,0,0,0,0,0.00,26,0,9,16,16,16
34,02/03/2017,1,-3,-1,0,0,0,0,0,0,0.00,27,0,11,16,16,16
35,02/04/2017,1,-6,-2,0,0,0,0,0,0,0.00,26,8,14,16,16,16
36,02/05/2017,6,-1,3,0,0,0,0,0,0,0.00,26,6,12,16,16,16
37,02/06/2017,9,2,6,0,0,0,0,0,0,0.00,21,0,8,16,13,16
38,02/07/2017,6,2,4,1,1,0,0,0,0,0.00,24,0,11,14,1,5
39,02/08/2017,17,3,10,1,0,0,0,0,0,0.00,21,0,7,16,1,9
40,02/09/2017,7,-7,0,0,1,1,0,0,0,23.88,37,11,20,16,0,6
41,02/10/2017,0,-7,-3,0,0,1,0,0,0,T,26,6,14,16,2,15
42,02/11/2017,9,-1,4,0,0,0,0,0,0,0.00,21,0,7,16,14,16
43,02/12/2017,4,-1,2,1,0,1,0,0,0,T,27,0,12,16,2,8
44,02/13/2017,4,-1,2,1,0,0,0,0,0,0.00,45,8,20,16,10,16
45,02/14/2017,5,-2,2,0,0,0,0,0,0,0.00,21,0,9,16,16,16
46,02/15/2017,8,2,5,0,0,0,0,0,0,0.00,29,0,10,16,11,15
47,02/16/2017,2,-2,0,0,0,0,0,0,0,0.00,27,10,17,16,16,16
48,02/17/2017,5,-3,1,0,0,0,0,0,0,0.00,26,8,14,16,16,16
49,02/18/2017,17,2,9,0,0,0,0,0,0,0.00,26,0,9,16,16,16
50,02/19/2017,18,12,15,0,0,0,0,0,0,0.00,23,0,9,16,16,16
51,02/20/2017,13,4,8,0,0,0,0,0,0,0.00,29,0,12,16,16,16
52,02/21/2017,8,1,5,0,0,0,0,0,0,0.00,23,0,9,16,16,16
53,02/22/2017,14,6,10,0,0,0,0,0,0,0.00,19,0,5,16,13,16
54,02/23/2017,18,7,13,0,0,0,0,0,0,0.00,21,0,6,16,5,13
55,02/24/2017,21,14,18,0,0,0,0,0,0,0.00,23,0,10,16,16,16
56,02/25/2017,17,7,12,1,1,0,0,0,0,0.00,32,0,11,16,1,12
57,02/26/2017,7,2,4,0,0,0,0,0,0,0.00,29,8,14,16,16,16
58,02/27/2017,12,2,7,0,0,0,0,0,0,0.00,26,0,9,16,16,16
59,02/28/2017,15,8,12,0,0,0,0,0,0,0.00,16,0,6,16,11,16
60,03/01/2017,21,12,17,1,0,0,0,0,0,0.00,26,0,10,16,3,13
61,03/02/2017,18,2,10,0,0,0,0,0,0,0.00,42,8,18,16,16,16
62,03/03/2017,4,-4,0,0,0,0,0,0,0,0.00,29,8,13,16,16,16
63,03/04/2017,-1,-8,-4,0,0,0,0,0,0,0.00,32,6,14,16,16,16
64,03/05/2017,3,-10,-3,0,0,0,0,0,0,0.00,23,0,9,16,16,16
65,03/06/2017,7,-3,2,0,0,0,0,0,0,0.00,16,0,5,16,16,16
66,03/07/2017,13,6,9,1,0,0,0,0,0,0.00,21,0,7,16,6,14
67,03/08/2017,15,8,12,1,0,0,0,0,0,0.00,27,8,12,16,14,16
68,03/09/2017,16,8,12,0,0,0,0,0,0,0.00,37,0,14,16,16,16
69,03/10/2017,8,-5,2,0,1,1,0,0,0,5.33,32,0,12,16,0,9
70,03/11/2017,-2,-8,-5,0,0,0,0,0,0,0.00,29,6,15,16,16,16
71,03/12/2017,-2,-7,-4,0,0,0,0,0,0,T,27,6,14,16,16,16
72,03/13/2017,2,-7,-3,0,0,0,0,0,0,0.00,19,0,8,16,16,16
73,03/14/2017,0,-6,-3,0,1,1,0,0,0,19.30,45,11,22,16,0,4
74,03/15/2017,-3,-7,-5,0,0,0,0,0,0,0.00,34,11,19,16,13,16
75,03/16/2017,4,-4,0,0,0,0,0,0,0,0.00,32,0,13,16,16,16
76,03/17/2017,8,-2,3,0,0,0,0,0,0,0.00,24,6,10,16,16,16
77,03/18/2017,4,1,3,0,0,1,0,0,0,T,32,0,14,16,2,12
78,03/19/2017,8,1,5,0,0,0,0,0,0,0.00,29,6,13,16,16,16
79,03/20/2017,11,1,6,0,0,0,0,0,0,0.00,23,0,8,16,16,16
80,03/21/2017,15,6,11,0,0,0,0,0,0,0.00,21,0,7,16,16,16
81,03/22/2017,10,-4,3,0,0,0,0,0,0,0.00,39,6,19,16,16,16
82,03/23/2017,6,-5,1,0,0,0,0,0,0,0.00,21,0,8,16,16,16
83,03/24/2017,14,2,8,0,0,0,0,0,0,0.00,24,0,10,16,16,16
84,03/25/2017,17,6,11,0,0,0,0,0,0,0.00,26,0,11,16,13,16
85,03/26/2017,6,3,4,1,0,0,0,0,0,0.00,29,0,13,16,3,13
86,03/27/2017,12,3,7,1,1,0,0,0,0,0.00,19,0,7,13,1,7
87,03/28/2017,8,5,7,1,0,0,0,0,0,0.00,23,0,9,16,2,7
88,03/29/2017,16,6,11,0,0,0,0,0,0,0.00,29,0,13,16,6,15
89,03/30/2017,11,3,7,0,0,0,0,0,0,0.00,24,0,9,16,16,16
90,03/31/2017,6,3,4,1,0,0,0,0,0,0.00,42,0,17,14,2,5
91,04/01/2017,9,3,6,0,0,0,0,0,0,0.00,42,0,12,16,4,13
92,04/02/2017,17,4,11,0,0,0,0,0,0,0.00,23,0,9,16,16,16
93,04/03/2017,17,9,13,1,0,0,0,0,0,0.00,29,0,8,16,14,16
94,04/04/2017,11,7,9,1,0,0,0,0,0,0.00,29,0,11,16,1,8
95,04/05/2017,18,7,13,0,0,0,0,0,0,0.00,23,0,5,16,2,9
96,04/06/2017,12,4,8,1,0,0,0,0,0,0.00,35,0,15,16,2,8
97,04/07/2017,11,4,8,0,0,0,0,0,0,0.00,27,6,17,16,16,16
98,04/08/2017,14,4,9,0,0,0,0,0,0,0.00,27,0,13,16,16,16
99,04/09/2017,19,7,13,0,0,0,0,0,0,0.00,21,0,8,16,16,16
100,04/10/2017,23,12,18,0,0,0,0,0,0,0.00,21,0,10,16,16,16
101,04/11/2017,27,16,22,0,0,0,0,0,0,0.00,23,0,9,16,16,16
102,04/12/2017,24,14,19,1,0,0,0,0,0,0.00,16,0,5,16,6,16
103,04/13/2017,18,9,14,0,0,0,0,0,0,0.00,23,0,8,16,14,16
104,04/14/2017,19,9,14,0,0,0,0,0,0,0.00,16,0,6,16,16,16
105,04/15/2017,18,11,14,0,0,0,0,0,0,0.00,19,0,9,16,16,16
106,04/16/2017,31,15,23,1,0,0,0,0,0,0.00,34,0,12,16,6,16
107,04/17/2017,23,14,19,0,0,0,0,0,0,0.00,23,0,11,16,16,16
108,04/18/2017,18,8,13,0,0,0,0,0,0,0.00,24,0,11,16,16,16
109,04/19/2017,12,7,10,1,0,0,0,0,0,0.00,26,0,9,16,16,16
